x,y,z
342,64,a
341,64,a
339,64,a
338,64,a
337,63,a
337,63,a
331,61,a
330,61,a
328,60,a
325,59,a
324,59,a
321,58,a
318,57,a
314,55,a
314,55,a
313,54,a
311,53,a
310,53,a
308,53,a
307,53,a
307,53,a
307,52,a
305,51,a
304,49,a
303,49,a
300,48,a
298,46,a
297,44,a
295,43,a
294,42,a
293,41,a
290,38,a
290,37,a
286,36,a
285,36,a
283,35,a
282,34,a
280,32,a
280,31,a
278,30,a
277,29,a
276,29,a
273,27,a
273,26,a
272,25,a
271,23,a
270,23,a
270,22,a
269,20,a
269,19,a
267,17,a
267,16,a
267,16,a
266,14,a
266,12,a
266,11,a
265,11,a
264,9,a
264,8,a
263,6,a
263,5,a
262,5,a
262,5,a
262,4,a
262,4,a
263,4,a
264,4,a
264,4,a
265,4,a
266,4,a
267,4,a
267,4,a
269,4,a
269,4,a
270,4,a
270,4,a
271,4,a
272,4,a
272,4,a
274,4,a
274,4,a
275,4,a
275,4,a
277,4,a
277,4,a
278,4,a
278,4,a
278,4,a
279,4,a
279,4,a
280,4,a
280,4,a
281,3,a
282,4,a
282,5,a
283,6,a
284,8,a
285,9,a
285,10,a
286,10,a
286,12,a
287,13,a
287,13,a
288,14,a
289,16,a
292,18,a
293,20,a
293,20,a
294,21,a
295,21,a
296,22,a
298,23,a
300,24,a
300,25,a
301,25,a
301,26,a
302,27,a
303,27,a
305,28,a
307,29,a
309,31,a
309,31,a
302,27,a
300,26,a
300,26,a
298,26,a
297,25,a
297,24,a
294,21,a
294,20,a
294,20,a
293,18,a
292,18,a
292,17,a
291,15,a
291,15,a
289,12,a
289,12,a
287,11,a
287,10,a
285,9,a
283,7,a
283,6,a
283,5,a
282,5,a
282,5,a
283,4,a
284,4,a
286,4,a
287,5,a
289,5,a
290,5,a
291,5,a
293,4,a
294,4,a
295,4,a
296,4,a
296,4,a
298,4,a
300,4,a
302,4,a
303,4,a
306,4,a
307,4,a
310,4,a
312,4,a
312,4,a
314,4,a
315,3,a
316,3,a
318,3,a
319,3,a
320,3,a
322,3,a
323,2,a
331,2,a
334,2,a
339,2,a
340,2,a
341,2,a
343,2,a
344,2,a
348,2,a
350,2,a
353,3,a
354,3,a
357,3,a
358,3,a
367,3,a
370,3,a
374,3,a
376,3,a
377,3,a
378,3,a
383,3,a
386,3,a
391,4,a
391,4,a
391,4,a
397,4,a
398,4,a
399,4,a
399,4,a
399,5,a
399,7,a
398,7,a
398,8,a
397,8,a
397,9,a
397,12,a
397,13,a
396,14,a
396,15,a
396,15,a
395,17,a
395,18,a
394,21,a
394,22,a
394,23,a
393,24,a
392,26,a
392,27,a
391,29,a
390,32,a
389,33,a
389,35,a
388,35,a
388,35,a
386,36,a
383,39,a
382,39,a
381,39,a
381,40,a
380,41,a
377,45,a
375,46,a
372,48,a
371,48,a
366,52,a
366,52,a
364,55,a
362,55,a
362,56,a
361,56,a
361,56,a
359,58,a
359,59,a
355,61,a
352,63,a
349,63,a
349,63,a
345,63,a
344,63,a
339,63,a
335,63,a
335,62,a
335,60,a
334,60,a
334,58,a
333,58,a
333,57,a
333,55,a
333,55,a
332,53,a
332,52,a
332,52,a
332,49,a
331,48,a
331,46,a
330,43,a
329,36,a
329,35,a
329,35,a
329,34,a
329,34,a
330,33,a
330,32,a
331,31,a
331,30,a
332,29,a
332,28,a
332,28,a
332,27,a
332,26,a
332,25,a
332,24,a
332,23,a
332,23,a
332,25,a
332,26,a
332,27,a
332,27,a
331,28,a
331,29,a
331,30,a
331,32,a
331,34,a
330,37,a
329,38,a
328,40,a
328,42,a
327,44,a
327,45,a
327,45,a
327,48,a
326,49,a
326,49,a
325,49,a
324,49,a
323,50,a
322,50,a
